Name,Author,Price,Category,Publisher,Isbn,Pages
mehwer launch bundle (includes issue 7 of the rapport and issue 1 of mehwer) (oct-dec 2021),tpsg,Rs800.00,literature,tpsg,9.78929E+12,0
"the celebration bundle (includes issue 4, 5 and 6 of the rapport)  (apr-jun 2021)",tpsg,Rs800.00,literature,tpsg,9.78929E+12,0
petals in my diary: a memoir book of poems,ayesha manzoor watto,Rs625.00,biography & autobiography,ferozsons,9.78969E+12,79
legends of karachi,muhammad ali samejo,Rs1195.00,literature,liberty publishing,9.7897E+12,309
state of terror,hillary rodham clinton,£14.99,fiction,pan books uk,9.78153E+12,512
fasana-e-kaun-o-makaan (urdu),shariq jamal khan,Rs1500.00,literature,mavra,9.78929E+12,311
"the ottomans: khans, caesars and caliphs",marc david baer,£16.99,history,john murray uk,9.78147E+12,560
betrayal,omar shahid hamid,Rs1095.00,literature,lightstone,9.7897E+12,353
history of a drowning boy: the autobiography,dennis nilsen,£12.99,BIOGRAPHY & AUTOBIOGRAPHY,abc books,9.78191E+12,336
troubles: winner of the booker prize 1970 (w&n essentials),j.g. farrell,£10.99,literature,weidenfeld && nicolson uk,9.78147E+12,464
mahi mahi kookdi main (urdu),huma kokab bukhari,Rs1600.00,literature,ali mian publications,9.7897E+12,806
main anmol (urdu),saadia raees,Rs800.00,literature,ali mian publications,9.7897E+12,272
mending the mind: the art and science of overcoming clinical depression,oliver kamm.,£16.99,psychology,weidenfeld && nicolson uk,9.78147E+12,320
anaa aap ki dushman (urdu),ryan holiday,Rs600.00,selfhelp,ali mian publications,9.7897E+12,246
the husbands (tiktok made me buy it!),chandler baker,£13.99,fiction,sphere uk,9.78075E+12,352
"act your age, eve brown",talia hibbert,£8.99,fiction,piatkus uk,9.78035E+12,400
we need to talk about kevin: winner of the women's prize for fiction 2005,lionel shriver,£8.99,literature,serpent''s tail uk,9.78185E+12,496
possession: winner of the booker prize 1990,a.s. byatt,£9.99,literature,vintage uk,9.7801E+12,624
eating in the age of dieting,rujuta diwekar,Rs1095.00,health,liberty publishing,9.7897E+12,314
paddy clarke ha ha ha: winner of the booker prize 1993,roddy doyle,£8.99,literature,vintage uk,9.78075E+12,240
holiday: winner of the booker prize 1974,stanley middleton,£8.99,literature,windmill uk,9.7801E+12,256
"how late it was, how late: winner of the booker prize 1994",james kelman,£9.99,literature,vintage uk,9.78153E+12,416
sacred hunger: winner of the booker prize 1992,barry unsworth,£10.99,literature,penguin uk,9.78014E+12,640
saville: winner of the booker prize 1976,david storey,£10.99,literature,vintage uk,9.78178E+12,688
"the daily laws: 366 meditations on power, seduction, mastery, strategy and human nature",robert greene,$21.00 ,selfhelp,viking,9.78059E+12,464
the elected member: winner of the booker prize 1970,bernice rubens,£9.99,literature,abacus uk,9.78035E+12,224
the good sister: ticktok made me buy it!,sally hepworth,£7.99,fiction,hodder && stoughton uk,9.78147E+12,320
the enlightenment of the greengage tree: shortlisted for the international booker prize 2020,shokoofeh azar,£8.99,literature,europa editions uk,9.78179E+12,272
the glowing skull: flember (book 3),jamie smart,£6.99,children,david fickling uk,9.78179E+12,288
the space business: from hotels in orbit to mining the moon - how private enterprise is transforming space (hot science),andrew may,£8.99,science,icon books uk,9.78179E+12,176
people's role in struggle for pakistan,naumana kiran imran,Rs1995.00,history,vanguard books pakistan,9.78969E+12,297
studies in majesty,fakir syed aijazuddin,Rs4000.00,art,fakir syed aijaxuddin,9.7897E+12,151
the bewitching of aveline jones: aveline jones (book 2),phil hickes,£6.99,children,usborne uk,9.78147E+12,256
legacy of war,wilbur smith,£8.99,fiction,zaffre publishing uk,9.78184E+12,352
burn,patrick ness,£7.99,CHILDREN,walker books uk,9.78141E+12,384
circular history of pakistan,asim imdad ali,Rs1995.00,history,vanguard books pakistan,9.78969E+12,266
adaalat mein sayasat (urdu),s.m. zafar,Rs700.00,pakistan studies,ilm-o-irfan,9.78931E+12,208
islam aik taaruf (urdu),maulana wahiduddin khan,Rs600.00,religion,ilm-o-irfan,9.78929E+12,344
pakistan banaam curruption: awam ki adaalat mein (urdu),s.m. zafar,Rs500.00,pakistan studies,ilm-o-irfan,9.78931E+12,205
paighambar-e-inquilab (urdu),maulana wahiduddin khan,Rs600.00,BIOGRAPHY & AUTOBIOGRAPHY,ilm-o-irfan,9.78931E+12,256
dhanak (volume 1),fakhir ahmed aslam,Rs250.00,children,amal academy,9.7897E+12,20
daughter of the deep,rick riordan,£14.99,children,puffin uk,9.78024E+12,352
feminisms: a global history : pelican books,lucy delap,£10.99,women studies,pelican uk,9.78014E+12,416
"entangled life: how fungi make our worlds, change our minds and shape our futures",merlin sheldrake,£10.99,science,vintage uk,9.78178E+12,368
earthshot: how to save our planet,hrh prince william,£14.99,science,john murray uk,9.78153E+12,352
ghosts,dolly alderton,£8.99,fiction,penguin uk,9.78024E+12,352
a toolkit for happiness: 55 ways to feel better,emma hepburn,£1895.00,selfhelp,greenfinch uk,9.78153E+12,192
american marxism,mark r. levin,$28.00 ,politics,threshold editions usa,9.7815E+12,320
asterix and the chieftain's daughter (volume 38),jean-yves ferri,£7.99,children,sphere uk,9.78151E+12,48
attack on titan season 2 (manga box set),hajime isayama,$43.96 ,CHILDREN,kodansha comics,9.78163E+12,768
post corona: from crisis to opportunity,scott galloway,£9.99,politics,corgi uk,9.78055E+12,256
atlas of the invisible: maps & graphics that will change how you see the world,james cheshire,£25.00,reference,particular books uk,9.78185E+12,216
attack on titan season 3: part 1 (manga box set),hajime isayama,$54.95 ,CHILDREN,kodansha comics,9.78163E+12,768
a mouse called miika,matt haig,£12.99,children,canongate uk,9.78184E+12,208
misfits: a personal manifesto,michaela coel,£9.99,selfhelp,ebury press uk,9.78153E+12,128
money: the true story of a made-up thing,jacob goldstein,£9.99,business,atlantic books uk,9.78179E+12,272
no words: little bridge island (book 3),meg cabot,£8.99,fiction,piatkus uk,9.78035E+12,368
masters of scale: surprising truths from the worldâ¿¿s most successful entrepreneurs,reid hoffman,£14.99,business,bantam uk,9.78179E+12,304
matrix,lauren groff,£13.99,literature,william heinemann uk,9.78179E+12,288
manifesto,bernardine evaristo,£14.99,BIOGRAPHY & AUTOBIOGRAPHY,hamish hamilton uk,9.78024E+12,208
in a holidaze,christina lauren,£8.99,fiction,piatkus uk,9.78035E+12,336
"index, a history of the: a bookish adventure",dennis duncan,£20.00,literary criticism,allen lane uk,9.78024E+12,352
hot stew,fiona mozley,£8.99,literature,john murray uk,9.78153E+12,320
julia and the shark,kiran millwood hargrave,£12.99,children,orion children uk,9.78151E+12,224
kingdom of the cursed: kingdom of the wicked (book 2) (tiktok made me buy it!),kerri maniscalco,£14.99,CHILDREN,hodder && stoughton uk,9.78153E+12,448
the burning girls,c.j. tudor,£8.99,fiction,penguin uk,9.78141E+12,416
the awakening: the dragon heart legacy book,nora roberts,£8.99,fiction,piatkus uk,9.78035E+12,528
"strongmen: how they rise, why they succeed, how they fall",ruth ben-ghiat,£9.99,politics,profile uk,9.78179E+12,400
sick money: the truth about the global pharmaceutical industry,billy kenber,£18.99,politics,canongate uk,9.78184E+12,432
snow country,sebastian faulks,£13.99,literature,hutchinson uk,9.78179E+12,368
payday,celia walden,£12.99,fiction,sphere uk,9.78075E+12,368
"poles apart: why people turn against each other, and how to bring them together",alison goldsworthy,£14.99,psychology,bantam uk,9.78185E+12,320
princess at heart: the rosewood chronicles (book 4),connie glynn,£7.99,children,penguin uk,9.78024E+12,336
reminiscences of the cuban revolutionary war (penguin modern classics),ernesto che guevara,£10.99,history,penguin classics uk,9.78024E+12,272
the story of paintings: a history of art for children,mick manning,£9.99,children,franklin watts uk,9.78145E+12,88
"the strike collection (the cuckoo's calling, the silkworm, career of evil, lethal white, troubled blood)",robert galbraith,£49.95,fiction,sphere uk,9.78075E+12,0
the who's whonicorn of unicorns,kes gray,£6.99,children,puffin uk,9.78024E+12,32
three sisters: the tattooist of auschwitz (book 3),heather morris,£13.99,literature,zaffre publishing uk,9.78184E+12,400
the penguin book of christmas stories (penguin clothbound classics),jessica harrison,£12.99,literature,penguin clothbound classics uk,9.78024E+12,288
